index,title,type,release_year,genres,production_countries,imdb_score,imdb_votes
3303,Bad Trip,MOVIE,2020,"['comedy', 'reality']","['US', 'CA']",6.5,23979
3304,Away,SHOW,2020,"['scifi', 'drama', 'romance']",['US'],6.6,23706
3306,The Pharmacist,SHOW,2020,"['crime', 'documentation']",['US'],7.7,6989
3309,Ghost in the Shell: SAC_2045,SHOW,2020,"['scifi', 'animation', 'action', 'thriller', 'crime', 'drama']",['JP'],6.2,2020
3311,The Water Man,MOVIE,2020,"['action', 'drama', 'family', 'fantasy', 'thriller']",['US'],5.4,3641
3312,Rebecca,MOVIE,2020,"['thriller', 'romance', 'drama']",['GB'],6,40447
3319,Da 5 Bloods,MOVIE,2020,"['war', 'drama']",['US'],6.5,50236
3326,The Disciple,MOVIE,2020,"['drama', 'music']",['IN'],7.1,2471
3327,Kiss the Ground,MOVIE,2020,['documentation'],['US'],8.2,6607
3330,Ava,MOVIE,2020,"['drama', 'thriller', 'action', 'crime']",['US'],5.4,53131
3331,The Comey Rule,SHOW,2020,"['war', 'drama']",['US'],7.4,8598
3334,Too Hot to Handle,SHOW,2020,"['reality', 'romance']",['US'],4.6,12001
